,ID,Title,Director,Release_Year,Original_Lang,Main_Genre,Genres,Runtime,User_Score,Ratings,Budget,Revenue,URL
129,26451,Investigation of a Citizen Above Suspicion,Elio Petri,1970,Italian,Drama,['Thriller'],111,82.0,625,-,-,https://www.themoviedb.org/movie/26451-investigation-of-a-citizen-above-suspicion
130,98,Gladiator,David Franzoni,2000,English,Action,"['Drama', 'Adventure']",155,82.0,15764,103000000,465361176,https://www.themoviedb.org/movie/98-gladiator
131,2457,Children of Paradise,Marcel Carné,1945,French,Drama,['Romance'],191,82.0,313,-,1457,https://www.themoviedb.org/movie/2457-children-of-paradise
132,1124,The Prestige,Christopher Nolan,2006,English,Drama,"['Mystery', 'ScienceFiction']",130,82.0,13612,40000000,109676311,https://www.themoviedb.org/movie/1124-the-prestige
133,857,Saving Private Ryan,Steven Spielberg,1998,English,Drama,"['History', 'War']",169,82.0,13628,70000000,481840909,https://www.themoviedb.org/movie/857-saving-private-ryan
134,629,The Usual Suspects,Bryan Singer,1995,English,Drama,"['Crime', 'Thriller']",106,82.0,8947,6000000,23341568,https://www.themoviedb.org/movie/629-the-usual-suspects
135,50014,The Help,Tate Taylor,2011,English,Drama,[],146,82.0,6796,25000000,216639112,https://www.themoviedb.org/movie/50014-the-help
136,531428,Portrait of a Lady on Fire,Céline Sciamma,2019,French,Drama,['Romance'],120,82.0,1921,5740000,9923127,https://www.themoviedb.org/movie/531428-portrait-of-a-lady-on-fire
137,663558,New Gods: Nezha Reborn,Zhao Ji,2021,Chinese,Animation,"['Action', 'Fantasy']",116,82.0,305,-,-,https://www.themoviedb.org/movie/663558-new-gods:-nezha-reborn
138,77,Memento,Christopher Nolan,2000,English,Mystery,['Thriller'],113,82.0,12771,9000000,39723096,https://www.themoviedb.org/movie/77-memento
139,603,The Matrix,Lana Wachowski,1999,English,Action,['ScienceFiction'],136,82.0,22364,63000000,463517383,https://www.themoviedb.org/movie/603-the-matrix
140,11324,Shutter Island,Martin Scorsese,2010,English,Drama,"['Thriller', 'Mystery']",138,82.0,20753,80000000,294800000,https://www.themoviedb.org/movie/11324-shutter-island
141,398818,Call Me by Your Name,Luca Guadagnino,2017,English,Romance,['Drama'],132,82.0,10667,4000000,41063475,https://www.themoviedb.org/movie/398818-call-me-by-your-name
142,324786,Hacksaw Ridge,Mel Gibson,2016,English,Drama,"['History', 'War']",139,82.0,11633,40000000,175302354,https://www.themoviedb.org/movie/324786-hacksaw-ridge
143,620683,My Mom is a Character 3,Susana Garcia,2019,Portuguese,Comedy,[],111,82.0,432,2000000,39273021,https://www.themoviedb.org/movie/620683-my-mom-is-a-character-3
144,399106,Piper,Alan Barillaro,2016,English,Family,['Animation'],6,82.0,1416,-,-,https://www.themoviedb.org/movie/399106-piper
145,517814,Capernaum,Nadine Labaki,2018,Arabic,Drama,[],126,82.0,1357,4000000,64978931,https://www.themoviedb.org/movie/517814-capernaum
146,508442,Soul,Pete Docter,2020,English,Animation,"['Family', 'Comedy', 'Fantasy', 'Drama']",101,82.0,8584,150000000,136384442,https://www.themoviedb.org/movie/508442-soul
147,475557,Joker,Todd Phillips,2019,English,Crime,"['Thriller', 'Drama']",122,82.0,21584,55000000,1074251311,https://www.themoviedb.org/movie/475557-joker
148,103,Taxi Driver,Martin Scorsese,1976,English,Crime,['Drama'],114,82.0,9986,1300000,28570902,https://www.themoviedb.org/movie/103-taxi-driver
149,19,Metropolis,Fritz Lang,1927,German,Drama,['ScienceFiction'],149,82.0,2186,1300000,650422,https://www.themoviedb.org/movie/19-metropolis
150,406997,Wonder,Stephen Chbosky,2017,English,Drama,['Family'],113,82.0,7077,20000000,305937718,https://www.themoviedb.org/movie/406997-wonder
151,20914,My Friends,Tullio Pinelli,1975,Italian,Comedy,[],140,82.0,603,-,-,https://www.themoviedb.org/movie/20914-my-friends
152,872,Singin' in the Rain,Betty Comden,1952,English,Comedy,"['Music', 'Romance', 'Drama']",103,82.0,2562,2540800,7200000,https://www.themoviedb.org/movie/872-singin--in-the-rain
153,289,Casablanca,Michael Curtiz,1942,English,Drama,['Romance'],102,82.0,4455,878000,10462500,https://www.themoviedb.org/movie/289-casablanca
154,111,Scarface,Brian De Palma,1983,English,Action,"['Crime', 'Drama']",170,82.0,9771,25000000,66023329,https://www.themoviedb.org/movie/111-scarface
155,1422,The Departed,Martin Scorsese,2006,English,Drama,"['Thriller', 'Crime']",151,82.0,12890,90000000,291465000,https://www.themoviedb.org/movie/1422-the-departed
156,705,All About Eve,Joseph L. Mankiewicz,1950,English,Drama,[],139,82.0,1262,1400000,8400000,https://www.themoviedb.org/movie/705-all-about-eve
